method,seed,scenario_key,campaign_size,coordination_strength,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,weak_malicious_recovered,weak_benign_promoted,vehicle_precision,vehicle_recall,vehicle_f1,attacked_vehicles_recovered,benign_vehicles_incorrectly_included,campaign_detection_rate,campaign_precision,campaign_recall,campaign_f1,false_campaign_alert_rate,n_detected_campaign_clusters,n_ground_truth_campaigns,incorrect_campaign_merging,coordinated_events,runtime_graph_construction_sec,runtime_gnn_inference_sec,runtime_clustering_sec,runtime_total_sec,runtime_local_ids_sec
fcgnn,67,S3_strong_campaign,2,0.75,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7765902777777778,0.764068914757473,0,177,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,2,1,0,33,0.0516149169998243,0.060810916009359,0.004570541990688,0.7100434580061119,
local_ids,97,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.9526333333333332,0.9766129312894536,0,184,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,1.2468140840064734,0.0
descriptor_clustering,41,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8898472222222222,0.9512033050460976,0,188,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,3,1,0,281,0.0890584999870043,,0.0040645829867571,1.331256208010018,
standard_gnn,37,S3_strong_campaign,10,0.75,3,0,0,0,0.9441384736428008,1.0,0.971266693646297,1.0,0.0,0.952699530516432,0.9968627692751572,0,51,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,7,1,0,135,0.1100124170188792,0.0969189589959569,0.0066942080156877,2.649489791976521,
descriptor_clustering,11,S3_strong_campaign,2,0.75,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7727638888888888,0.7609158144428256,0,190,0.6666666666666666,1.0,0.8,2,1,1.0,0.0,1.0,0.0,1.0,2,1,0,56,0.0498911250033415,,0.0024264170206151,0.6264313330175355,
descriptor_clustering,67,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8926861111111111,0.9535175970602048,0,188,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,4,1,0,226,0.082228249986656,,0.0036867079907096,1.3512941660010256,
local_ids,11,S3_strong_campaign,10,0.75,3,0,0,0,0.9508716323296356,1.0,0.974817221770918,1.0,0.0,0.9761155913978496,0.9986875025531742,0,44,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,2.532782166992547,0.0
fcgnn,101,S3_strong_campaign,10,1.0,3,0,0,0,0.947119179163378,1.0,0.9728415079043372,1.0,0.0,0.9588930348258706,0.997487404736333,0,39,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,2,1,0,749,0.1181733749981504,0.1253121670160908,0.0065316670225001,2.789419040986104,
descriptor_clustering,11,S3_strong_campaign,10,1.0,2,1,0,0,0.7058823529411765,1.0,0.8275862068965517,1.0,0.0,0.665326388888889,0.8141181072421046,0,180,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0899815000011585,,0.005595666996669,1.4369204999820795,
descriptor_clustering,11,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8921194444444444,0.951554516541678,0,176,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,5,1,0,400,0.0864573340222705,,0.0037797089898958,1.3920468330034057,
standard_gnn,83,S3_strong_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7886944444444445,0.7720315783965097,0,186,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0570044580090325,0.0631952919939067,0.0044528750004246,0.7358919999969658,
fcgnn,67,S3_strong_campaign,10,1.0,3,0,0,0,0.9584664536741214,1.0,0.9787928221859706,1.0,0.0,0.962227564102564,0.9982306652765454,0,29,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,2,1,0,478,0.1196155000070575,0.1281886250071693,0.0062861250189598,2.7828834999818355,
standard_gnn,23,S3_strong_campaign,5,0.75,3,0,0,0,0.6666666666666666,1.0,0.8,1.0,0.0,0.8862861111111111,0.949255460640153,0,166,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,3,1,0,49,0.089292958000442,0.0815699170052539,0.0046153750154189,1.4478674590063747,
local_ids,101,S3_strong_campaign,10,1.0,3,0,0,0,0.947119179163378,1.0,0.9728415079043372,1.0,0.0,0.9645149253731344,0.9979149859873744,0,39,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,,,,2.469593707995955,0.0
fcgnn,67,S3_strong_campaign,10,0.75,3,0,0,0,0.9584664536741214,1.0,0.9787928221859706,1.0,0.0,0.962227564102564,0.9982306652765454,0,29,1.0,1.0,1.0,3,0,1.0,0.0,1.0,0.0,1.0,11,1,0,316,0.1112747080042027,0.1566630830056965,0.0076656249875668,2.786674375005532,
descriptor_clustering,41,S3_strong_campaign,2,1.0,2,1,0,0,0.4444444444444444,1.0,0.6153846153846154,1.0,0.0,0.7864861111111113,0.7806971617113507,0,178,0.6666666666666666,1.0,0.8,2,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.0574643750151153,,0.00269575000857,0.6851165840053,
descriptor_clustering,67,S3_strong_campaign,10,1.0,3,0,0,0,0.9584664536741214,1.0,0.9787928221859706,1.0,0.0,0.962227564102564,0.9982306652765454,0,29,1.0,1.0,1.0,3,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0.1180549999990034,,0.0074072499992325,2.622942583024269,
