run_id,scenario_id,seed,tp,fp,tn,fn,precision,recall,f1,fpr,fnr,roc_auc,pr_auc,latency_sec,prediction_source
S1_isolated_descriptor_clustering_n1_cs0p00_seed11_20260611T100442_46484e71,S1,11,120,53,67,0,0.6936416184971098,1.0,0.8191126279863481,0.4416666666666666,0.0,0.9036111111111113,0.9109348939550715,0.2653123330092057,isolation_forest_only
S1_isolated_descriptor_clustering_n1_cs0p00_seed23_20260611T102841_4897e70c,S1,23,120,24,36,0,0.8333333333333334,1.0,0.9090909090909092,0.4,0.0,0.9997222222222222,0.9998616850321396,0.1889441660023294,isolation_forest_only
S1_isolated_descriptor_clustering_n1_cs0p00_seed37_20260611T102841_7bd310b8,S1,37,120,40,80,0,0.75,1.0,0.8571428571428571,0.3333333333333333,0.0,0.9418055555555556,0.9444651885818698,0.1949945419910363,isolation_forest_only
S1_isolated_descriptor_clustering_n1_cs0p00_seed41_20260611T102842_bcdc65fb,S1,41,120,47,73,0,0.718562874251497,1.0,0.8362369337979094,0.3916666666666666,0.0,0.91125,0.9142202684030152,0.2554599170107394,isolation_forest_only
S1_isolated_descriptor_clustering_n1_cs0p00_seed53_20260611T102843_798b8432,S1,53,120,24,36,0,0.8333333333333334,1.0,0.9090909090909092,0.4,0.0,0.9991666666666666,0.9995972222222222,0.2315946249873377,isolation_forest_only
S1_isolated_descriptor_clustering_n1_cs0p00_seed67_20260611T102844_fb90efda,S1,67,120,23,37,0,0.8391608391608392,1.0,0.9125475285171104,0.3833333333333333,0.0,0.9997222222222222,0.9998616850321396,0.1826450829976238,isolation_forest_only
S1_isolated_descriptor_clustering_n1_cs0p00_seed71_20260611T102845_cb852f84,S1,71,120,28,32,0,0.8108108108108109,1.0,0.8955223880597015,0.4666666666666667,0.0,0.9969444444444444,0.9984473310597928,0.260728791996371,isolation_forest_only
S1_isolated_descriptor_clustering_n1_cs0p00_seed83_20260611T102846_056f5d0a,S1,83,120,50,70,0,0.7058823529411765,1.0,0.8275862068965517,0.4166666666666667,0.0,0.9022222222222224,0.9072425568493164,0.2502045419532805,isolation_forest_only
S1_isolated_descriptor_clustering_n1_cs0p00_seed97_20260611T102847_c82e1095,S1,97,120,63,57,0,0.6557377049180327,1.0,0.7920792079207921,0.525,0.0,0.8709027777777778,0.8854857153953888,0.1996418749913573,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p00_seed101_20260611T103019_f1afcdee,S2,101,94,125,175,0,0.4292237442922374,1.0,0.6006389776357828,0.4166666666666667,0.0,0.9690780141843972,0.9395021184347138,0.4472470419714227,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p00_seed11_20260611T100449_ac730c41,S2,11,87,117,183,0,0.4264705882352941,1.0,0.5979381443298969,0.39,0.0,0.9539080459770116,0.9042833774452826,0.3386764580500312,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p00_seed23_20260611T102905_3204f434,S2,23,93,126,174,0,0.4246575342465753,1.0,0.5961538461538461,0.42,0.0,0.9942652329749104,0.9899938814787012,0.3537712920224294,isolation_forest_only
S2_non_coordinated_descriptor_clustering_n10_cs0p00_seed37_20260611T102914_4615abb5,S2,37,92,114,186,0,0.4466019417475728,1.0,0.6174496644295302,0.38,0.0,0.9784420289855074,0.9580723862755244,0.4112427089712582,isolation_forest_only
