scenario_key,scenario_id,method,seed,campaign_size,coordination_strength
S3_strong_campaign,S3,fcgnn,23,5,0.75
S3_strong_campaign,S3,local_ids,23,5,1.0
S3_strong_campaign,S3,descriptor_clustering,23,5,1.0
S3_strong_campaign,S3,standard_gnn,23,5,1.0
S3_strong_campaign,S3,fcgnn,23,5,1.0
S3_strong_campaign,S3,local_ids,23,10,0.75
S3_strong_campaign,S3,descriptor_clustering,23,10,0.75
S3_strong_campaign,S3,standard_gnn,23,10,0.75
S3_strong_campaign,S3,fcgnn,23,10,0.75
S3_strong_campaign,S3,local_ids,23,10,1.0
S3_strong_campaign,S3,descriptor_clustering,23,10,1.0
S3_strong_campaign,S3,standard_gnn,23,10,1.0
S3_strong_campaign,S3,fcgnn,23,10,1.0
S3_strong_campaign,S3,local_ids,37,2,0.75
S3_strong_campaign,S3,descriptor_clustering,37,2,0.75
S3_strong_campaign,S3,standard_gnn,37,2,0.75
S3_strong_campaign,S3,fcgnn,37,2,0.75
S3_strong_campaign,S3,local_ids,37,2,1.0
S3_strong_campaign,S3,descriptor_clustering,37,2,1.0
S3_strong_campaign,S3,standard_gnn,37,2,1.0
S3_strong_campaign,S3,fcgnn,37,2,1.0
S3_strong_campaign,S3,local_ids,37,5,0.75
S3_strong_campaign,S3,descriptor_clustering,37,5,0.75
S3_strong_campaign,S3,standard_gnn,37,5,0.75
S3_strong_campaign,S3,fcgnn,37,5,0.75
S3_strong_campaign,S3,local_ids,37,5,1.0
S3_strong_campaign,S3,descriptor_clustering,37,5,1.0
S3_strong_campaign,S3,standard_gnn,37,5,1.0
S3_strong_campaign,S3,fcgnn,37,5,1.0
S3_strong_campaign,S3,local_ids,37,10,0.75
S3_strong_campaign,S3,descriptor_clustering,37,10,0.75
S3_strong_campaign,S3,standard_gnn,37,10,0.75
S3_strong_campaign,S3,fcgnn,37,10,0.75
S3_strong_campaign,S3,local_ids,37,10,1.0
S3_strong_campaign,S3,descriptor_clustering,37,10,1.0
S3_strong_campaign,S3,standard_gnn,37,10,1.0
S3_strong_campaign,S3,fcgnn,37,10,1.0
S3_strong_campaign,S3,local_ids,41,2,0.75
S3_strong_campaign,S3,descriptor_clustering,41,2,0.75
S3_strong_campaign,S3,standard_gnn,41,2,0.75
S3_strong_campaign,S3,fcgnn,41,2,0.75
S3_strong_campaign,S3,local_ids,41,2,1.0
S3_strong_campaign,S3,descriptor_clustering,41,2,1.0
S3_strong_campaign,S3,standard_gnn,41,2,1.0
S3_strong_campaign,S3,fcgnn,41,2,1.0
S3_strong_campaign,S3,local_ids,41,5,0.75
S3_strong_campaign,S3,descriptor_clustering,41,5,0.75
S3_strong_campaign,S3,standard_gnn,41,5,0.75
S3_strong_campaign,S3,fcgnn,41,5,0.75
S3_strong_campaign,S3,local_ids,41,5,1.0
S3_strong_campaign,S3,descriptor_clustering,41,5,1.0
S3_strong_campaign,S3,standard_gnn,41,5,1.0
S3_strong_campaign,S3,fcgnn,41,5,1.0
S3_strong_campaign,S3,local_ids,41,10,0.75
S3_strong_campaign,S3,descriptor_clustering,41,10,0.75
S3_strong_campaign,S3,standard_gnn,41,10,0.75
S3_strong_campaign,S3,fcgnn,41,10,0.75
